school,real_size,size,state,setting,status,meanprob,lowprob,highprob,meaNActive,lowactive,highactive,meanincub,lowincub,highincub,meantot,lowtot,hightot,instate,outstate
Saint Cloud State University,13133,8373,Minnesota,Small City,NA,99.99,99.16,100.0,7,3,14,3,1,7,10,4,21,6.265100522185723,3.4956218664466427
Saint Edward's University,3941,3528,Texas,Large City,NA,100.0,100.0,100.0,45,20,106,17,7,40,62,27,146,60.92276282005173,1.3038990227826757
Saint Francis University,2119,1526,Pennsylvania,Town,private,99.33,93.61,99.99,3,2,7,2,1,3,5,3,10,3.8202511617893067,1.1762963730222602
St. John Fisher College,2746,2624,New York,Suburb,NA,99.97,99.23,100.0,5,3,9,3,1,4,8,4,13,7.795182489330409,0.24102913136747328
Saint Johns University,1724,1703,Minnesota,Rural,NA,83.48,57.59,98.34,1,1,3,1,0,1,2,1,4,0.7997075935360203,0.9960199499369262
University of Saint Joseph,808,654,Connecticut,Small City,NA,52.84,36.37,73.82,1,0,1,0,0,0,1,0,1,0.3229073536424942,0.42769804904450054
St. Joseph's College - New York,928,798,New York,Large City,NA,94.03,81.66,99.2,2,1,3,1,1,2,3,2,5,2.641006665225994,0.17189331297829089
Saint Joseph's College of Maine,1537,960,Maine,Rural,private,92.96,72.34,99.4,2,1,3,1,0,2,3,1,5,0.6689466402008762,1.9798574422086699
Saint Joseph's University,5143,4481,Pennsylvania,Large City,NA,100.0,100.0,100.0,13,7,26,6,3,13,19,10,39,3.9630449484434034,15.565049540748113
Saint Leo University,9672,6732,Florida,Suburb,private,100.0,100.0,100.0,70,37,140,34,17,70,104,54,210,93.68387005037367,9.832341195109858
Saint Louis University,9900,6625,Missouri,Large City,NA,100.0,100.0,100.0,16,8,36,7,3,16,23,11,52,5.90566205242418,17.323238506504858
Saint Martin's University,1318,1121,Washington,Suburb,NA,98.97,94.41,99.97,3,2,5,2,1,3,5,3,8,4.055712534682113,0.5136793815133955
Saint Mary - of - the - Woods College,662,491,IndiaNA,Rural,private,86.74,66.4,98.12,1,1,3,1,0,1,2,1,4,1.4042804639086348,0.6111516277842195
Saint Mary's College,1533,1486,IndiaNA,Suburb,NA,99.5,93.25,100.0,4,2,7,2,1,4,6,3,11,1.244118129939422,4.037896329534318
Saint Mary's College of California,2776,2614,California,Suburb,NA,100.0,100.0,100.0,13,7,27,6,3,13,19,10,40,17.98848550795095,1.4195480315117501
Saint Mary's University of Minnesota,1501,1129,Minnesota,Town,NA,77.58,52.93,95.58,1,1,2,0,0,1,1,1,3,0.5405632170980572,0.9521874137429396
Saint Michael's College,1790,1766,Vermont,Suburb,private,98.3,88.87,99.95,3,2,5,1,1,2,4,3,7,0.0023831525375921036,4.0650936465773135
Saint Norbert College,2068,2021,Wisconsin,Suburb,private,91.59,72.74,99.38,2,1,3,1,0,2,3,1,5,0.7068141111977652,1.7620015887460923
Saint Peter's University,2633,2387,New Jersey,Large City,NA,100.0,99.98,100.0,11,6,21,5,3,10,16,9,31,13.462224798290963,2.0471552941248534
St. Thomas AquiNAs College,1777,1091,New York,Suburb,NA,99.89,98.06,100.0,5,3,8,2,1,4,7,4,12,3.8293143946841144,2.9674349834897207
St. Thomas University,2907,935,Florida,Suburb,NA,100.0,100.0,100.0,25,13,51,12,6,25,37,19,76,36.014458833835356,1.2141077940634866
Saint Vincent College,1667,1617,Pennsylvania,Suburb,NA,98.89,91.16,99.99,3,2,6,1,1,3,4,3,9,2.781374627001532,1.7082758963458873
Saint Xavier University,2942,2638,Illinois,Large City,NA,99.18,92.52,99.99,3,2,7,1,1,3,4,3,10,4.304286116348504,0.4918606399899236
Salem College,817,673,North CaroliNA,Midsize City,private,93.39,70.38,99.78,2,1,4,1,0,2,3,1,6,0.7224899064824295,1.9814332571193698
Salem InterNAtioNAl University,892,892,West Virginia,Rural,private,98.43,86.56,99.98,3,1,6,1,1,3,4,2,9,0.03386140593418982,4.101152999236202
Salem State University,7110,5792,Massachusetts,Suburb,NA,100.0,100.0,100.0,20,11,37,9,5,18,29,16,55,28.862172848702677,0.757422460601848
Salisbury University,7783,7191,Maryland,Suburb,public,100.0,100.0,100.0,16,9,29,7,4,14,23,13,43,17.737610961339627,5.368039511766354
Salve RegiNA University,2180,2087,Rhode Island,Suburb,NA,99.59,95.22,100.0,4,2,7,2,1,3,6,3,10,0.24355208946964124,5.249268107021151
Sam Houston State University,18416,14808,Texas,Town,public,100.0,100.0,100.0,224,96,526,83,33,196,307,129,722,305.97549836858764,1.0593045926275497
Samford University,3375,3266,Alabama,Suburb,private,100.0,99.97,100.0,13,6,28,6,2,13,19,8,41,5.878912111204669,12.58360400474605
San Diego Christian College,656,504,California,Suburb,private,98.82,89.82,99.99,3,2,6,1,1,3,4,3,9,3.8803000892201887,0.5423481547182809
San Diego State University,30267,27060,California,Large City,NA,100.0,100.0,100.0,149,77,302,68,34,143,217,111,445,202.3905955969866,14.467586281879576
