school,real_size,size,state,setting,status,meanprob,lowprob,highprob,meaNActive,lowactive,highactive,meanincub,lowincub,highincub,meantot,lowtot,hightot,instate,outstate
Roberts Wesleyan College,1322,1248,New York,Suburb,NA,96.26,81.16,99.9,2,1,5,1,1,2,3,2,7,2.731291642291601,0.5514082768866194
Rochester College,1152,762,Michigan,Suburb,NA,97.97,73.43,100.0,3,1,7,1,0,4,4,1,11,3.7142955699374234,0.1749059507829476
Rochester Institute of Technology,13510,12447,New York,Suburb,private,100.0,100.0,100.0,25,12,55,13,6,29,38,18,84,17.35100683366931,20.573982712152883
Rockford University,1059,918,Illinois,Midsize City,NA,78.73,49.94,98.15,1,0,3,1,0,1,2,0,4,0.9318071788249179,0.6135605250385822
Rockhurst University,2208,1445,Missouri,Large City,NA,91.6,55.3,99.94,2,1,5,1,0,2,3,1,7,1.7268317067992807,0.7476248481325664
Rocky Mountain College,898,868,MontaNA,Midsize City,private,100.0,46.56,100.0,9,0,94,3,0,26,12,0,120,10.23210148645015,1.7162237331739456
Roger Williams University,4704,4042,Rhode Island,Suburb,private,100.0,99.66,100.0,8,4,17,4,2,9,12,6,26,0.19009196180811783,11.904232911735328
Rollins College,2614,2453,Florida,Suburb,private,100.0,99.99,100.0,15,6,36,8,3,20,23,9,56,19.989789457067978,3.5288350811829146
Roosevelt University,2576,2117,Illinois,Large City,NA,98.87,86.89,100.0,3,1,7,2,1,4,5,2,11,2.003898669761788,2.473201406487914
Rosemont College,634,520,Pennsylvania,Suburb,NA,79.67,54.06,97.25,1,1,2,1,0,1,2,1,3,0.8883950960222529,0.7015060541896139
Rowan University,15399,13634,New Jersey,Suburb,NA,100.0,100.0,100.0,56,25,136,28,12,70,84,37,206,82.61488806455864,1.1659343214749391
Rust College,862,792,Mississippi,Town,NA,99.52,88.83,100.0,4,1,8,2,1,4,6,2,12,4.041094915156151,1.2652746885751438
Rutgers University - Camden,5489,4493,New Jersey,Small City,NA,100.0,100.0,100.0,20,9,49,10,4,25,30,13,74,28.953971158818845,1.2140614116959783
Rutgers University - New Brunswick,35638,33677,New Jersey,Small City,NA,100.0,100.0,100.0,128,57,310,65,28,161,193,85,471,182.60548113894203,9.6420921573997
Rutgers University - Newark,8549,7162,New Jersey,Large City,NA,100.0,100.0,100.0,31,14,76,16,7,39,47,21,115,45.28314709061398,1.440308643138975
Sacred Heart University,5605,4982,Connecticut,Suburb,NA,100.0,99.91,100.0,10,5,21,5,2,11,15,7,32,0.5718228896991123,14.034983486612704
SagiNAw Valley State University,7850,6559,Michigan,Suburb,public,100.0,99.99,100.0,17,6,49,9,3,28,26,9,77,26.526773886219758,0.18371334170299608
Saint Ambrose University,2369,2215,Iowa,Midsize City,private,98.2,73.75,100.0,3,1,9,1,0,5,4,1,14,2.060770448874818,1.9497365140952378
Saint Anselm College,1965,1926,New Hampshire,Suburb,NA,99.46,90.19,100.0,3,2,7,2,1,4,5,3,11,0.21234837497990944,4.998060272366135
Saint Augustine's University,972,961,North CaroliNA,Large City,private,95.82,69.34,99.95,2,1,5,1,0,3,3,1,8,0.502668064808325,2.6583587613751676
St. BoNAventure University,1621,1586,New York,Town,NA,98.61,88.22,99.99,3,1,6,1,1,3,4,2,9,3.144823559120882,1.1231558894930689
Saint Cloud State University,13133,8373,Minnesota,Small City,NA,99.97,94.72,100.0,5,2,16,3,1,8,8,3,24,3.8473882959798047,4.337985952655498
Saint Edward's University,3941,3528,Texas,Large City,NA,100.0,99.98,100.0,15,6,36,7,3,15,22,9,51,20.662260372113067,1.1446723450094283
Saint Francis University,2119,1526,Pennsylvania,Town,private,98.68,88.63,99.99,3,1,6,1,1,3,4,2,9,3.3468925454226097,0.975448219536613
St. John Fisher College,2746,2624,New York,Suburb,NA,99.89,97.11,100.0,5,2,9,2,1,5,7,3,14,6.64374929852073,0.18834394460445147
