 ,0,0,na,na,na
Goshen College,888,816,Indiana,Small City,private
Goucher College,1534,1447,Maryland,Small City,na
Grace Bible College,873,822,Michigan,Small City,na
Grace College and Theological Seminary,1761,1439,Indiana,Town,private
Graceland University - Lamoni,1405,1061,Iowa,Rural,private
Grambling State University,4075,3734,Louisiana,Town,na
Grand Canyon University,49564,15998,Arizona,Large City,na
Grand Valley State University,21935,19373,Michigan,Suburb,na
Grand View University,1787,1574,Iowa,Midsize City,na
Granite State College,1758,807,New Hampshire,Town,na
Grantham University,7817,3296,Kansas,Suburb,na
Greensboro College,944,772,North Carolina,Large City,na
Greenville University,988,887,Illinois,Town,na
Grinnell College,1717,1662,Iowa,Town,private
Grove City College,2376,2315,Pennsylvania,Town,na
Guilford College,1669,1429,North Carolina,Large City,na
Gustavus Adolphus College,2184,2150,Minnesota,Town,private
Gwynedd Mercy University,2081,1934,Pennsylvania,Suburb,private
Hamilton College,1894,1886,New York,Suburb,private
Hamline University,2166,2082,Minnesota,Large City,na
Hampden - Sydney College,1044,1039,Virginia,Rural,na
Hampshire College,1264,1268,Massachusetts,Suburb,private
Hampton University,3796,3651,Virginia,Midsize City,na
Hannibal - LaGrange University,913,706,Missouri,Town,na
Hanover College,1096,1081,Indiana,Town,na
Hardin - Simmons University,1741,1585,Texas,Midsize City,na
Harding University,4187,3945,Arkansas,Town,na
Harris - Stowe State University,1441,1163,Missouri,Large City,na
Harrisburg University of Science and Technology,509,463,Pennsylvania,Small City,na
Hartwick College,1198,1180,New York,Town,private
Harvard University,9964,7147,Massachusetts,Midsize City,na
Harvey Mudd College,867,844,California,Suburb,na
Hastings College,1156,1073,Nebraska,Town,na
Haverford College,1293,1294,Pennsylvania,Suburb,private
Hawaii Pacific University,3565,2411,Hawaii,Large City,na
Heidelberg University,1049,1031,Ohio,Town,na
Henderson State University,2838,2565,Arkansas,Town,public
Hendrix College,1240,1228,Arkansas,Small City,na
Heritage University,812,734,Washington,Rural,private
Herzing University - Atlanta,593,365,Georgia,Large City,na
High Point University,4467,4418,North Carolina,Midsize City,na
Hilbert College,744,680,New York,Suburb,private
Hiram College,1209,853,Ohio,Town,na
Hobart and William Smith Colleges,2239,2220,New York,Town,private
Hodges University,1076,573,Florida,Suburb,na
Hofstra University,6863,6494,New York,Suburb,na
Hollins University,647,632,Virginia,Suburb,na
Holy Cross College,555,526,Indiana,Suburb,na
Holy Family University,2095,1630,Pennsylvania,Large City,private
Holy Names University,591,543,California,Large City,private
Hood College,1132,1048,Maryland,Small City,na
Hope College,3150,3019,Michigan,Small City,private
Hope International University,866,579,California,Suburb,na
Houghton College,1036,971,New York,Rural,private
Houston Baptist University,2320,2098,Texas,Large City,na
Howard Payne University,980,860,Texas,Town,private
Howard University,6354,6090,District of Columbia,Large City,na
Humboldt State University,7860,7270,California,Town,na
Humphreys University - Stockton and Modesto Campuses,324,208,California,Large City,na
Huntingdon College,1101,878,Alabama,Midsize City,private
Huntington University,1075,859,Indiana,Town,na
Huston - Tillotson University,1052,1003,Texas,Large City,na
